date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2018-01-15,2018,1,Cabbage,Cabbage,53.08,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-02-15,2018,2,Cabbage,Cabbage,55.9,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-03-15,2018,3,Cabbage,Cabbage,61.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-04-15,2018,4,Cabbage,Cabbage,60.68,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-05-15,2018,5,Cabbage,Cabbage,71.39,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-06-15,2018,6,Cabbage,Cabbage,79.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-07-15,2018,7,Cabbage,Cabbage,80.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-08-15,2018,8,Cabbage,Cabbage,100.33,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-09-15,2018,9,Cabbage,Cabbage,169.49,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-10-15,2018,10,Cabbage,Cabbage,100.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-11-15,2018,11,Cabbage,Cabbage,98.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-12-15,2018,12,Cabbage,Cabbage,65.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2019-01-15,2019,1,Cabbage,Cabbage,61.82,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2019-02-15,2019,2,Cabbage,Cabbage,57.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2019-03-15,2019,3,Cabbage,Cabbage,57.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-05-15,2020,5,Cabbage,Cabbage,95.42,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-06-15,2020,6,Cabbage,Cabbage,83.38,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-07-15,2020,7,Cabbage,Cabbage,60.91,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-08-15,2020,8,Cabbage,Cabbage,53.23,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-09-15,2020,9,Cabbage,Cabbage,49.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-10-15,2020,10,Cabbage,Cabbage,49.68,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-11-15,2020,11,Cabbage,Cabbage,90.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-12-15,2020,12,Cabbage,Cabbage,141.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-01-15,2021,1,Cabbage,Cabbage,176.61,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-02-15,2021,2,Cabbage,Cabbage,127.9,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-03-15,2021,3,Cabbage,Cabbage,70.02,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-04-15,2021,4,Cabbage,Cabbage,60.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-05-15,2021,5,Cabbage,Cabbage,55.92,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-06-15,2021,6,Cabbage,Cabbage,65.07,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-07-15,2021,7,Cabbage,Cabbage,85.08,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-08-15,2021,8,Cabbage,Cabbage,117.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-09-15,2021,9,Cabbage,Cabbage,95.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-10-15,2021,10,Cabbage,Cabbage,77.36,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-11-15,2021,11,Cabbage,Cabbage,76.7,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-12-15,2021,12,Cabbage,Cabbage,56.86,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-01-15,2022,1,Cabbage,Cabbage,71.21,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-02-15,2022,2,Cabbage,Cabbage,53.81,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-03-15,2022,3,Cabbage,Cabbage,55.2,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-04-15,2022,4,Cabbage,Cabbage,66.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-05-15,2022,5,Cabbage,Cabbage,76.05,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-06-15,2022,6,Cabbage,Cabbage,68.53,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-07-15,2022,7,Cabbage,Cabbage,64.77,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-08-15,2022,8,Cabbage,Cabbage,64.24,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-09-15,2022,9,Cabbage,Cabbage,76.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-10-15,2022,10,Cabbage,Cabbage,87.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-11-15,2022,11,Cabbage,Cabbage,110.25,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-12-15,2022,12,Cabbage,Cabbage,129.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-01-15,2023,1,Cabbage,Cabbage,97.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-02-15,2023,2,Cabbage,Cabbage,82.91,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-03-15,2023,3,Cabbage,Cabbage,72.56,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-04-15,2023,4,Cabbage,Cabbage,71.45,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-05-15,2023,5,Cabbage,Cabbage,71.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-06-15,2023,6,Cabbage,Cabbage,84.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-07-15,2023,7,Cabbage,Cabbage,129.95,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-08-15,2023,8,Cabbage,Cabbage,141.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-09-15,2023,9,Cabbage,Cabbage,141.91,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-10-15,2023,10,Cabbage,Cabbage,161.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-11-15,2023,11,Cabbage,Cabbage,110.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-12-15,2023,12,Cabbage,Cabbage,72.56,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-01-15,2024,1,Cabbage,Cabbage,62.65,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-02-15,2024,2,Cabbage,Cabbage,64.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-03-15,2024,3,Cabbage,Cabbage,66.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-04-15,2024,4,Cabbage,Cabbage,67.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-05-15,2024,5,Cabbage,Cabbage,69.2,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-06-15,2024,6,Cabbage,Cabbage,76.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-07-15,2024,7,Cabbage,Cabbage,74.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-08-15,2024,8,Cabbage,Cabbage,65.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-09-15,2024,9,Cabbage,Cabbage,69.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-10-15,2024,10,Cabbage,Cabbage,96.32,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-11-15,2024,11,Cabbage,Cabbage,122.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-12-15,2024,12,Cabbage,Cabbage,117.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-01-15,2025,1,Cabbage,Cabbage,88.92,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-02-15,2025,2,Cabbage,Cabbage,83.53,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-03-15,2025,3,Cabbage,Cabbage,75.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-04-15,2025,4,Cabbage,Cabbage,97.98,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-05-15,2025,5,Cabbage,Cabbage,106.38,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-06-15,2025,6,Cabbage,Cabbage,90.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-07-15,2025,7,Cabbage,Cabbage,87.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-08-15,2025,8,Cabbage,Cabbage,157.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-09-15,2025,9,Cabbage,Cabbage,102.93,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-10-15,2025,10,Cabbage,Cabbage,100.81,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-11-15,2025,11,Cabbage,Cabbage,92.38,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-12-15,2025,12,Cabbage,Cabbage,94.33,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-01-15,2026,1,Cabbage,Cabbage,94.85,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-02-15,2026,2,Cabbage,Cabbage,85.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-03-15,2026,3,Cabbage,Cabbage,73.93,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-04-15,2026,4,Cabbage,Cabbage,67.88,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-05-15,2026,5,Cabbage,Cabbage,64.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-06-15,2026,6,Cabbage,Cabbage,79.1,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-05-15,2020,5,Calamansi,Calamansi,66.86,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-06-15,2020,6,Calamansi,Calamansi,62.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-07-15,2020,7,Calamansi,Calamansi,58.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-08-15,2020,8,Calamansi,Calamansi,55.58,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-09-15,2020,9,Calamansi,Calamansi,47.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-10-15,2020,10,Calamansi,Calamansi,47.14,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-11-15,2020,11,Calamansi,Calamansi,56.95,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2020-12-15,2020,12,Calamansi,Calamansi,60.3,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-01-15,2021,1,Calamansi,Calamansi,74.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-02-15,2021,2,Calamansi,Calamansi,99.45,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-03-15,2021,3,Calamansi,Calamansi,89.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-04-15,2021,4,Calamansi,Calamansi,90.69,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-05-15,2021,5,Calamansi,Calamansi,101.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-06-15,2021,6,Calamansi,Calamansi,76.18,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-07-15,2021,7,Calamansi,Calamansi,66.36,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-08-15,2021,8,Calamansi,Calamansi,66.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-09-15,2021,9,Calamansi,Calamansi,63.3,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-10-15,2021,10,Calamansi,Calamansi,61.6,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-11-15,2021,11,Calamansi,Calamansi,90.23,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2021-12-15,2021,12,Calamansi,Calamansi,85.14,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-01-15,2022,1,Calamansi,Calamansi,79.44,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-02-15,2022,2,Calamansi,Calamansi,86.67,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-03-15,2022,3,Calamansi,Calamansi,98.37,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-04-15,2022,4,Calamansi,Calamansi,99.35,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-05-15,2022,5,Calamansi,Calamansi,88.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-06-15,2022,6,Calamansi,Calamansi,76.03,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-07-15,2022,7,Calamansi,Calamansi,76.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-08-15,2022,8,Calamansi,Calamansi,75.75,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-09-15,2022,9,Calamansi,Calamansi,71.65,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-10-15,2022,10,Calamansi,Calamansi,82.39,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-11-15,2022,11,Calamansi,Calamansi,100.99,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-12-15,2022,12,Calamansi,Calamansi,109.82,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-01-15,2023,1,Calamansi,Calamansi,100.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-02-15,2023,2,Calamansi,Calamansi,77.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-03-15,2023,3,Calamansi,Calamansi,103.92,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-04-15,2023,4,Calamansi,Calamansi,118.77,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-05-15,2023,5,Calamansi,Calamansi,102.96,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-06-15,2023,6,Calamansi,Calamansi,84.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-07-15,2023,7,Calamansi,Calamansi,77.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-08-15,2023,8,Calamansi,Calamansi,75.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-09-15,2023,9,Calamansi,Calamansi,69.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-10-15,2023,10,Calamansi,Calamansi,77.33,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-11-15,2023,11,Calamansi,Calamansi,94.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-12-15,2023,12,Calamansi,Calamansi,84.24,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-01-15,2024,1,Calamansi,Calamansi,84.02,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-02-15,2024,2,Calamansi,Calamansi,102.58,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-03-15,2024,3,Calamansi,Calamansi,86.55,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-04-15,2024,4,Calamansi,Calamansi,79.11,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-05-15,2024,5,Calamansi,Calamansi,111.96,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-06-15,2024,6,Calamansi,Calamansi,114.89,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-07-15,2024,7,Calamansi,Calamansi,132.56,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-08-15,2024,8,Calamansi,Calamansi,113.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-09-15,2024,9,Calamansi,Calamansi,85.41,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-10-15,2024,10,Calamansi,Calamansi,77.85,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-11-15,2024,11,Calamansi,Calamansi,86.24,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-12-15,2024,12,Calamansi,Calamansi,78.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-01-15,2025,1,Calamansi,Calamansi,82.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-02-15,2025,2,Calamansi,Calamansi,122.71,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-03-15,2025,3,Calamansi,Calamansi,119.39,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-04-15,2025,4,Calamansi,Calamansi,122.74,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-05-15,2025,5,Calamansi,Calamansi,114.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-06-15,2025,6,Calamansi,Calamansi,104.03,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-07-15,2025,7,Calamansi,Calamansi,97.9,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-08-15,2025,8,Calamansi,Calamansi,91.39,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-09-15,2025,9,Calamansi,Calamansi,78.21,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-10-15,2025,10,Calamansi,Calamansi,91.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-11-15,2025,11,Calamansi,Calamansi,133.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-12-15,2025,12,Calamansi,Calamansi,117.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-01-15,2026,1,Calamansi,Calamansi,160.63,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-02-15,2026,2,Calamansi,Calamansi,131.84,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-03-15,2026,3,Calamansi,Calamansi,129.06,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-04-15,2026,4,Calamansi,Calamansi,140.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-05-15,2026,5,Calamansi,Calamansi,136.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-06-15,2026,6,Calamansi,Calamansi,125.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-01-15,2008,1,Carrots,Carrots,52.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-02-15,2008,2,Carrots,Carrots,40.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-03-15,2008,3,Carrots,Carrots,35.18,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-04-15,2008,4,Carrots,Carrots,35.1,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-05-15,2008,5,Carrots,Carrots,37.62,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-06-15,2008,6,Carrots,Carrots,42.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-07-15,2008,7,Carrots,Carrots,47.3,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-08-15,2008,8,Carrots,Carrots,53.64,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-09-15,2008,9,Carrots,Carrots,61.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-10-15,2008,10,Carrots,Carrots,57.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-11-15,2008,11,Carrots,Carrots,51.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-12-15,2008,12,Carrots,Carrots,46.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-01-15,2009,1,Carrots,Carrots,33.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-02-15,2009,2,Carrots,Carrots,32.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-03-15,2009,3,Carrots,Carrots,41.7,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-04-15,2009,4,Carrots,Carrots,53.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-05-15,2009,5,Carrots,Carrots,63.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-06-15,2009,6,Carrots,Carrots,71.08,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-07-15,2009,7,Carrots,Carrots,52.8,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-08-15,2009,8,Carrots,Carrots,57.81,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-09-15,2009,9,Carrots,Carrots,72.11,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-10-15,2009,10,Carrots,Carrots,92.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-11-15,2009,11,Carrots,Carrots,77.1,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-12-15,2009,12,Carrots,Carrots,59.75,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-01-15,2010,1,Carrots,Carrots,38.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-02-15,2010,2,Carrots,Carrots,30.57,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-03-15,2010,3,Carrots,Carrots,29.61,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-04-15,2010,4,Carrots,Carrots,29.0,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-05-15,2010,5,Carrots,Carrots,31.71,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-06-15,2010,6,Carrots,Carrots,44.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-07-15,2010,7,Carrots,Carrots,66.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-08-15,2010,8,Carrots,Carrots,52.14,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-09-15,2010,9,Carrots,Carrots,44.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-10-15,2010,10,Carrots,Carrots,45.74,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-11-15,2010,11,Carrots,Carrots,40.43,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-12-15,2010,12,Carrots,Carrots,45.56,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-01-15,2012,1,Carrots,Carrots,76.78,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-02-15,2012,2,Carrots,Carrots,61.42,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-03-15,2012,3,Carrots,Carrots,48.63,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-05-15,2012,5,Carrots,Carrots,45.07,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-06-15,2012,6,Carrots,Carrots,52.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-07-15,2012,7,Carrots,Carrots,66.99,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-08-15,2012,8,Carrots,Carrots,80.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-09-15,2012,9,Carrots,Carrots,75.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-10-15,2012,10,Carrots,Carrots,59.36,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-11-15,2012,11,Carrots,Carrots,47.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-01-15,2013,1,Carrots,Carrots,33.24,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-02-15,2013,2,Carrots,Carrots,28.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-03-15,2013,3,Carrots,Carrots,30.65,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-04-15,2013,4,Carrots,Carrots,35.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2014-07-15,2014,7,Carrots,Carrots,84.29,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-05-15,2017,5,Carrots,Carrots,58.19,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-06-15,2017,6,Carrots,Carrots,52.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-07-15,2017,7,Carrots,Carrots,54.1,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-08-15,2017,8,Carrots,Carrots,70.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-09-15,2017,9,Carrots,Carrots,120.38,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-10-15,2017,10,Carrots,Carrots,117.26,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-11-15,2017,11,Carrots,Carrots,92.43,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2017-12-15,2017,12,Carrots,Carrots,72.72,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-01-15,2018,1,Carrots,Carrots,65.84,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-02-15,2018,2,Carrots,Carrots,62.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-03-15,2018,3,Carrots,Carrots,65.48,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-04-15,2018,4,Carrots,Carrots,60.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2018-05-15,2018,5,Carrots,Carrots,58.25,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
